chromosome geneName geneId transId transLenTrue Ps piS Ss_p Pn piN Sn_p Ds kS Ss_d Dn kN Sn_d DoS alphaMK
2L aop FBgn0000097 FBtr0077850 4879 80 0.0184747923786119 521.880843333332 20 0.000859671190974782 1674.11915666667 21 0.0402620226873303 521.583333333332 9 0.005375006221072 1674.41666666667 0.0733141519418962 0.416666666666667
2L aub FBgn0000146 FBtr0080165 2825 60 0.0114656805229453 603.983499999999 28 0.000959649542853719 1994.01650000001 57 0.0956175298804781 606.583333333333 100 0.0512391158740789 1990.66666666667 0.271672342542526 734
3R bam FBgn0000158 FBtr0084869 1894 30 0.0108410388019824 298.071491666667 28 0.0015397773632085 1027.92850833333 28 0.101280067520045 296.208333333334 70 0.0689459842201094 1029.79166666666 0.280658041916887 0.626666666666667
2L cact FBgn0000250 FBtr0080844 1893 42 0.00979904326095608 347.707833333333 20 0.000670703994215872 1152.29216666667 15 0.0431241015812171 347.833333333333 1 0.00086792998698105 1152.16666666667 -0.0443318902269603 -6.14285714285714
2L cad FBgn0000251 FBtr0081412 2516 22 0.0175732912535537 301.762495 7 0.000490590438360542 979.237504999997 20 0.066334991708126 301.5 7 0.00714650331801942 979.499999999997 0.070097184789461 0.0909090909090908
3L Cat FBgn0000261 FBtr0075058 1993 38 0.0144345288189347 351.020333333333 5 0.000547719810901825 1166.97966666667 16 0.0456599286563615 350.416666666666 8 0.00685175933195347 1167.58333333333 0.0939227352667404 0.736842105263158
2L eya FBgn0000320 FBtr0079335 3075 101 0.0214805043117497 571.502744166666 28 0.000656878482564095 1726.49725583334 30 0.0525087514585765 571.333333333332 5 0.00289575289575288 1726.66666666667 0.0225928425243863 -0.663366336633664
2L dpp FBgn0000490 FBtr0077771 3723 70 0.0143351487243286 428.610333333332 22 0.000766552297006436 1335.38966666667 10 0.0232806285769717 429.541666666665 7 0.00524557404689793 1334.45833333333 0.133126831834288 0.551020408163265
3R ea FBgn0000533 FBtr0083083 1430 51 0.0160397600478991 293.1425 15 0.000856867579297018 882.857499999998 25 0.0852999715666761 293.083333333334 4 0.00453043888626712 882.916666666665 -0.000279100574725272 -0.838235294117647
3L ecd FBgn0000543 FBtr0072903 2204 98 0.0227833597869062 475.750076666664 46 0.0018232157187569 1576.24992333334 39 0.081889763779528 476.249999999997 8 0.00507694748532443 1575.75000000001 -0.0157165994675147 -1.28826530612245
2R EcR FBgn0000546 FBtr0086010 5233 6 0.000635123927933442 625.429333333333 5 0.000256444407337027 1921.57066666667 12 0.0191923230707717 625.25 4 0.00208143619097176 1921.75000000001 -0.189792379573316 -1.5
3L Gl FBgn0001108 FBtr0075756 4550 164 0.0318782583758356 875.467371333339 39 0.000570003372012229 2919.53262866665 66 0.0754339595685401 874.937500000006 25 0.00856146058517587 2920.06249999999 0.0843611768597502 0.37219512195122
3L Ide FBgn0001247 FBtr0273273 3439 20 0.00375074759843996 664.140666666667 12 0.000386196315652978 2305.85933333334 75 0.112866817155756 664.500000000001 7 0.0030362177401865 2305.5 -0.0671568576175702 -5.42857142857143
3R kay FBgn0001297 FBtr0290076 4574 97 0.0270365605747051 531.594717333332 40 0.00172396898259074 1733.40023666667 20 0.0372670807453417 536.666666666665 32 0.0190935390549662 1728.33333333334 0.27883228419932 0.742268041237113
3R kkv FBgn0001311 FBtr0078798 5457 32 0.0008667786494451 1150.109964 15 0.000240881778456936 3694.89003599998 133 0.115493161589116 1151.58333333334 3 0.000812256041154311 3693.41666666664 -0.210485156020312 -19.78125
2R kn FBgn0001319 FBtr0112810 3339 99 0.0238671839043248 510.010666666665 21 0.000450772489286578 1556.98933333334 16 0.0333034038037712 510.458333333332 3 0.001927349626576 1556.54166666667 0.0361698443412384 -0.131313131313131
2R Kr FBgn0001325 FBtr0072449 2536 16 0.0129154531902794 350.940666666667 10 0.0015929484261039 1155.05933333333 25 0.0714455822814957 349.916666666666 7 0.00605492683630073 1156.08333333333 -0.0316673196176674 -1.23214285714286
X egh FBgn0001404 FBtr0070439 3595 60 0.0156582305595676 338.702666666667 0 0 1032.29733333333 23 0.0677966101694915 339.25 1 0.000969227041434458 1031.75 0.0140946010511228 1
2L Sos FBgn0001965 FBtr0080541 5637 191 0.0184415469740325 1146.3385255 49 0.000363857774215333 3641.66147449998 63 0.0548979740033402 1147.58333333334 8 0.00219755064667508 3640.41666666664 0.0191404430165605 -1.02028795811518
2L Lam FBgn0002525 FBtr0079100 3129 54 0.00959234067201703 445.964333333332 10 0.000622675428657501 1420.03566666667 25 0.0560642870491498 445.916666666666 21 0.0154920485886978 1420.08333333334 0.155544552402033 0.779541446208113
