chromosome geneName geneId transId transLenTrue Ps piS Ss_p Pn piN Sn_p Ds kS Ss_d Dn kN Sn_d DoS alphaMK
2R a FBgn0000008 FBtr0071763 4847 140 0.0166588404543056 958.04382083334 91 0.00136498265738748 3028.95593916665 45 0.0468627961468365 960.250000000006 11 0.00363426117122328 3026.74999999999 -0.00376237640852359 -1.65909090909091
2L al FBgn0000061 FBtr0078053 1806 19 0.00305439840490568 318.8275 15 0.000484519660990585 905.172499999998 20 0.0626959247648903 319 1 0.00110497237569061 904.999999999998 -0.119592732541146 -14.7894736842105
3R ald FBgn0000063 FBtr0331348 2141 82 0.0190329792160957 480.874520166665 32 0.000985859136952955 1535.12547983334 30 0.0624783061437003 480.166666666665 16 0.0110689093868692 1535.83333333334 0.101254156104039 0.268292682926829
2L amd FBgn0000075 FBtr0081154 1792 9 0.00420354576229739 366.779666666666 5 0.000861862494705112 1163.22033333333 8 0.0217687074829932 367.499999999999 1 0.000860215053763441 1162.5 -0.132132734822558 -3.44444444444444
X amx FBgn0000077 FBtr0071331 1422 23 0.0131177707198694 196.579333333333 10 0.000493282612969613 655.420666666667 20 0.101651842439644 196.75 3 0.00457840518885921 655.25 0.00685755924262851 -1.89855072463768
2L aret FBgn0000114 FBtr0080344 3436 100 0.0225344936843754 562.15271 24 0.000934011007948956 1867.84729000001 27 0.0480177843645795 562.291666666666 8 0.00428332403792525 1867.70833333334 0.0420988972817833 0.19
3R ash2 FBgn0000139 FBtr0084660 1949 55 0.0217886451799154 389.520166666666 6 9.51514284175913e-05 1278.47983333333 36 0.0949935815147628 389.499999999999 2 0.00234649980445835 1278.5 0.0197581723453128 -0.963636363636364
3R asp FBgn0000140 FBtr0084692 6338 255 0.023585319878181 1378.0205475 171 0.00323301881798475 4483.95023849999 120 0.0878402903811254 1377.5 57 0.0129377648895829 4482.99999999998 0.00782625208063474 -0.411764705882353
3R aur FBgn0000147 FBtr0082483 1577 25 0.0115611876226887 293.445666666667 10 0.00152934505708807 939.536333333332 30 0.101983002832861 294.166666666667 12 0.0127818214095509 938.833333333332 -0.00545429511773099 0
3R bcd FBgn0000166 FBtr0081668 2514 4 0.000596854155051909 345.489833333333 10 0.000751552159936698 1136.51016666667 32 0.0926193921852388 345.5 8 0.00703915530136385 1136.5 -0.486730544890087 -9
2R bic FBgn0000181 FBtr0087782 1474 12 0.00877066064633704 121.176833333333 2 5.18553422097088e-05 385.823166666667 5 0.0412087912087912 121.333333333333 1 0.00259291270527225 385.666666666667 0.0533190034812125 0.166666666666667
2L BicC FBgn0000182 FBtr0080803 4022 91 0.0169753917121817 668.921850000001 23 0.000288047223658403 2046.07815000001 30 0.0448486358539927 668.916666666668 4 0.00195495458803404 2046.08333333334 0.0250839387266598 -0.895604395604396
3R boss FBgn0000206 FBtr0084949 3013 105 0.02412559489024 653.989291333333 67 0.00114756659707977 2034.01070866667 50 0.0764039220679995 654.416666666667 10 0.0049174281850592 2033.58333333334 0.015062560434419 -2.19047619047619
3L Brd FBgn0000216 FBtr0075621 532 11 0.0408776514918458 54.7869146733334 8 0.00437995692181985 188.213085326667 1 0.0183767228177642 54.4166666666667 3 0.0159080866106938 188.583333333333 0.367219749537875 0.757575757575758
X brn FBgn0000221 FBtr0070638 1450 49 0.0292155421043737 243.945847426667 24 0.00125547472681584 731.053915213333 18 0.07409948542024 242.916666666667 9 0.0122936824132043 732.083333333333 0.101096984370327 0.0204081632653061
