chromosome geneName geneId transId transLenTrue Ps piS Ss_p Pn piN Sn_p Ds kS Ss_d Dn kN Sn_d DoS alphaMK
3R Anp FBgn0000094 FBtr0085611 272 6 0.0134188527581417 39.9496666666667 4 0.0013452158799572 131.050333333333 1 0.024390243902439 41 11 0.0991420400381315 131125 0.711445587715087 0.939393939393939
3R CecA1 FBgn0000276 FBtr0085612 339 20 0.0747623380927941 47.296745 8 0.00329109158017465 141.703255 1 0.020979020979021 47.6666666666667 1 0.00707547169811321 141.333333333333 0.210039986314492 0.6
3R CecB FBgn0000278 FBtr0085640 425 17 0.0695762721623738 46.0762016666667 8 0.00292798458019878 142.908798333333 1 0.0216606498194946 46.1666666666667 1 0.00700116686114352 142.833333333333 0.203884454463329 0.529411764705882
2L Lsp1beta FBgn0002563 FBtr0078025 2605 121 0.0289602216641345 502.638666666664 44 0.00115742624453661 1864.34633333334 15 0.0298804780876495 501.999999999998 11 0.00589812332439676 1865.00000000001 0.126420416443132 0.504132231404959
2R nec FBgn0002930 FBtr0089052 1633 20 0.00711636037611765 342.95041 18 0.00113905983175444 1085.09759 35 0.104600484261501 344.166666666666 39 0.035983392280486 1083.83333333333 0.117979542911108 0.192307692307692
2L ninaD FBgn0002939 FBtr0081031 1727 27 0.00747557928462249 348554 26 0.00139612881785371 1190431 33 0.0949185043144775 347.666666666667 11 0.00923335198656967 1191.33333333333 -0.0687158765287837 -1.88888888888889
3R Rm62 FBgn0003261 FBtr0078652 2995 15 0.00253877955968596 535.674499999999 6 0.00013076322100704 1621.32550000001 39 0.0728291316526612 535.499999999999 14 0.00863398088189945 1621.50000000001 0.0570030086916156 -0.114285714285714
3R Jon99Ci FBgn0003358 FBtr0085511 907 34 0.0148573481846907 204.767466666667 18 0.00192730842583947 611.217533333334 55 0.294689450526962 203.604166666667 30 0.0538867154277938 612.395833333333 0.0397653255234375 0.0294117647058822
2L Uro FBgn0003961 FBtr0079486 1262 77 0.0466559926827012 241.502127333334 28 0.00206577283329009 814.482872666666 18 0.0743801652892561 242 3 0.00368550368550369 813.999999999999 0.00481091667507852 -1.18181818181818
3L LysP FBgn0004429 FBtr0072633 615 31 0.0684752703965001 99.6559833333333 11 0.00210781331139642 323.329016666667 12 0.120805369127517 99.3333333333333 3 0.00926879505664263 323.666666666667 0.0413949034069875 -0.419354838709677
3L LysS FBgn0004430 FBtr0072631 492 23 0.0211029573731314 97.0726666666666 8 0.00196886440419241 322.912333333333 12 0.124137931034483 96.6666666666666 3 0.00927835051546392 323.333333333333 -0.015791957139493 -0.391304347826087
3L LysX FBgn0004431 FBtr0072637 564 21 0.0359254257205677 100.811830413333 26 0.00635594347683343 325.185940826667 7 0.0683482506102523 102.416666666667 7 0.0246090745962574 325.083333333333 0.114410263216618 -0.238095238095238
3R B52 FBgn0004587 FBtr0300588 3966 4 0.00191022651622003 118.166666666667 4 0.00140759504388229 322.833333333333 1 0.00850460666194189 117.583333333333 2 0.00618397320278279 323.416666666667 -0.00324726715593948 0.5
3L Eig71Ee FBgn0004592 FBtr0075585 1486 36 0.010808597322614 328.185434333333 48 0.00330002068910624 1006.81456566667 20 0.0608596424496006 328625 34 0.0337846230281953 1006375 0.123063231337635 0.215686274509804
3R CanA1 FBgn0010015 FBtr0085732 2628 82 0.0209369817719849 444.164333333332 26 0.00076667269723167 1421.83566666667 19 0.0427286356821591 444.666666666665 2 0.00140712945590994 1421.33333333334 -0.00344274886176838 -2.01219512195122
2R Jheh1 FBgn0010053 FBtr0086625 1486 51 0.0254637248184611 336.426166666666 18 0.000585138476411447 1085.58883333333 39 0.115612648221344 337.333333333333 11 0.0101413644744929 1084.66666666667 0.0581813504190431 -0.251336898395722
3R Taf1 FBgn0010355 FBtr0304903 6873 42 0.00355387513439848 1461.35266666666 29 0.000545670359933907 5054.64733333334 157 0.107228229937394 1464.16666666666 38 0.00752202170829071 5051.83333333334 -0.0675538433782487 -1.85275689223058
2R Def FBgn0010385 FBtr0088432 399 5 0.0105234972748142 62627 7 0.00445312611022646 213373 6 0.0954907161803713 62.8333333333334 2 0.00938232994526974 213.166666666667 -0.207874766005105 -3.2
2R Dro FBgn0010388 FBtr0087436 355 11 0.0208186710615243 53.3459216666667 10 0.00407011813171599 138.654078333333 3 0.05625 53.3333333333333 1 0.00721153846153846 138.666666666667 -0.0498958234907394 -1.72727272727273
2R Nup214 FBgn0010660 FBtr0071996 5334 103 0.00611040736261485 1307.0356375 137 0.00208520536413792 3825.96436249998 133 0.101769488283118 1306875 122 0.0318922981407053 3825.37499999998 -0.0158250070648834 -0.450023873945568
3L SsRbeta FBgn0011016 FBtr0075453 950 6 0.00233832130378782 141.1435 8 0.000414353180702765 428.856500000001 12 0.085207100591716 140.833333333333 1 0.00233009708737864 429.166666666667 -0.123909124817891 -15
3L cue FBgn0011204 FBtr0072706 2801 90 0.0272688785080345 454.111666666666 29 0.00106345494470569 1477.88833333333 28 0.0617079889807164 453.749999999999 10 0.0067647556232031 1478.25 0.061259837394601 0.0977777777777777
3R alpha-Man-II FBgn0011740 FBtr0082031 3999 54 0.00409326236512837 783.001500000003 47 0.00104014921969678 2540.9985 97 0.12397486420279 782.416666666669 14 0.00550837732384669 2541.58333333333 -0.160082145167712 -5.03042328042328
2R AttA FBgn0012042 FBtr0087437 790 62 0.0836521401207155 165.766549333333 25 0.00437084094409646 497.233450666667 16 0.0957605985037406 167.083333333333 5 0.0100823391026718 495.916666666667 0.0456018721270725 -0.290322580645161
3R mtd FBgn0013576 FBtr0306694 5689 25 0.00316580884683033 964.421833333339 17 0.000328065980731539 3067.57816666665 61 0.063168795305488 965.666666666673 11 0.00358734645070118 3066.33333333332 -0.040159389060961 -2.77090909090909
2R Cyp6a8 FBgn0013772 FBtr0087455 1781 52 0.0209921571790885 353103 16 0.000964464065750101 1164.882075 32 0.0936613055818354 352.333333333333 20 0.0171575636259651 1165.66666666667 0.110899403478809 0.507692307692308
2L Hf FBgn0014000 FBtr0081306 896 21 0.0181561529598863 155.04638416 18 0.00431020892282683 486.93861584 13 0.0844612885760693 153.916666666667 4 0.00819532183711797 488.083333333334 -0.103403341179618 -1.78571428571429
X Spat FBgn0014031 FBtr0070913 1410 78 0.0339610445291458 289.005683333333 7 0.000137517793539818 892.994316666665 22 0.075993091537133 289.5 2 0.00224089635854342 892.499999999999 0.0246105644950717 0.0128205128205129
2L Sr-CI FBgn0014033 FBtr0077467 2055 92 0.0259595298046625 453.304659333332 97 0.00584247137771436 1433.69534066667 33 0.0727406318883175 453.666666666666 42 0.03 1433.33333333334 0.10828347159023 0.171583850931677
2R Cyp4e2 FBgn0014469 FBtr0088745 1783 25 0.00920243468222677 370.132999999999 9 0.000823606930609302 1207867 45 0.121430177647853 370.583333333333 8 0.00662571606045966 1207.41666666667 -0.0304059565415165 -1025
2R Mtk FBgn0014865 FBtr0087386 268 3 0.0204766947227318 41.6888333333333 5 0.0123880231921097 114.311166666667 2 0.0484848484848485 41.25 1 0.00871459694989107 114.75 -0.224585320470705 -2.33333333333333
3R Fer2LCH FBgn0015221 FBtr0332169 1118 34 0.0182387840430148 174748 5 0.000205868463003435 533252 8 0.0458452722063037 174.5 2 0.00374882849109653 533.5 0.0644287928240224 0.411764705882353
2L Try29F FBgn0015316 FBtr0301665 932 54 0.031712089759588 208.392761 19 0.00143119344661015 592.590574000001 17 0.0812749003984063 209.166666666667 3 0.00506899464939453 591.833333333334 0.0155250359575448 -0.993827160493827
